,,int,str,float,int,int,int,int,int,float,float,int,int,int,int,int,int,int,float
0,,¼øÀ§,ÆÀ¸í,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
172,2020,8,KIA,5.13,144,73,71,33,79,0.507,1270,1399,120,559,70,1038,795,724,1.54
173,2020,9,ÇÑÈ­,5.28,144,46,95,21,54,0.326,1265,1400,158,609,79,1019,820,742,1.59
174,2020,10,SK,5.57,144,51,92,20,53,0.357,1259.1,1343,162,670,84,953,846,780,1.6
175,2021,1,LG,3.57,144,72,58,32,81,0.554,1272.1,1126,80,545,98,1068,561,505,1.31
176,2021,2,KT,3.67,144,76,59,33,74,0.563,1264,1176,86,489,42,1062,584,515,1.32
177,2021,3,µÎ»ê,4.26,144,71,65,28,61,0.522,1269.1,1295,104,587,73,1045,656,601,1.48
178,2021,4,»ï¼º,4.3,144,76,59,46,80,0.563,1259,1297,131,530,51,1038,658,601,1.45
179,2021,5,Å°¿ò,4.31,144,70,67,30,56,0.511,1263.1,1281,101,566,80,900,700,605,1.46
180,2021,6,NC,4.54,144,67,68,33,80,0.496,1256.2,1268,125,592,77,1055,697,634,1.48
181,2021,7,ÇÑÈ­,4.65,144,49,83,21,62,0.371,1258.2,1208,115,673,101,1011,739,650,1.49
182,2021,8,SSG,4.82,144,66,64,25,56,0.508,1276.2,1296,149,629,78,1012,741,684,1.51
183,2021,9,KIA,4.89,144,58,76,36,94,0.433,1269,1286,134,622,104,951,752,690,1.5
184,2021,10,·Ôµ¥,5.37,144,65,71,37,76,0.478,1271,1333,133,659,87,1054,808,758,1.57
185,2022,1,LG,3.33,144,87,55,43,107,0.613,1288,1179,94,451,59,1031,521,476,1.27
186,2022,2,KT,3.51,144,80,62,37,65,0.563,1287.1,1243,92,364,63,1074,562,502,1.25
187,2022,3,Å°¿ò,3.79,144,80,62,48,84,0.563,1296.1,1247,96,490,70,1010,610,546,1.34
188,2022,4,SSG,3.87,144,88,52,45,68,0.629,1301.1,1223,130,457,65,1023,622,560,1.29
189,2022,5,NC,3.9,144,67,74,25,54,0.475,1286.2,1230,111,515,98,1168,642,557,1.36
190,2022,6,KIA,4.2,144,70,73,38,74,0.49,1279.2,1286,120,526,67,1042,679,597,1.42
191,2022,7,»ï¼º,4.29,144,66,76,34,71,0.465,1287,1370,129,478,66,971,695,613,1.44
192,2022,8,µÎ»ê,4.45,144,60,82,32,68,0.423,1279.1,1336,117,555,70,977,721,632,1.48
193,2022,9,·Ôµ¥,4.45,144,64,76,34,69,0.457,1280.2,1373,84,492,80,1199,712,633,1.46
194,2022,10,ÇÑÈ­,4.83,144,46,96,25,81,0.324,1268.1,1314,112,602,83,974,759,680,1.51
